I R cos(alpha)
--------------------------------
0.93278 1.01100 0.99828
0.93103 1.01169 0.98803
0.93137 1.01270 0.97321
0.92843 1.01407 0.95221
0.92356 1.01594 0.92333
0.91806 1.01830 0.88720
0.91249 1.02118 0.84329
0.90687 1.02455 0.79215
0.90023 1.02824 0.73644
0.89186 1.03231 0.67503
0.88213 1.03671 0.60905
0.87066 1.04147 0.53795
0.85887 1.04658 0.46208
0.84495 1.05197 0.38253
0.82770 1.05710 0.30658
0.81194 1.06226 0.23079
0.88843 1.48376 0.99795
0.88851 1.48442 0.98831
0.88865 1.48545 0.97333
0.88640 1.48687 0.95226
0.88200 1.48879 0.92321
0.87715 1.49122 0.88684
0.87235 1.49418 0.84235
0.86688 1.49752 0.79256
0.86075 1.50121 0.73759
0.85324 1.50543 0.67481
0.84321 1.50984 0.60919
0.83213 1.51473 0.53698
0.81991 1.51992 0.46072
0.80463 1.52524 0.38261
0.78554 1.53051 0.30512
0.76602 1.53525 0.23594
0.88013 1.97849 0.99847
0.88210 1.97922 0.98801
0.88255 1.98021 0.97358
0.87997 1.98163 0.95262
0.87528 1.98358 0.92349
0.87055 1.98606 0.88645
0.86550 1.98902 0.84286
0.86016 1.99238 0.79310
0.85377 1.99625 0.73610
0.84537 2.00034 0.67557
0.83446 2.00489 0.60872
0.82257 2.00974 0.53733
0.80878 2.01476 0.46381
0.79324 2.02024 0.38379
0.77863 2.02533 0.30951
0.76498 2.02969 0.24586
0.88898 2.47491 0.99752
0.88854 2.47546 0.98959
0.88819 2.47658 0.97327
0.88633 2.47793 0.95348
0.88230 2.47997 0.92350
0.87738 2.48249 0.88631
0.87237 2.48543 0.84300
0.86669 2.48883 0.79287
0.85990 2.49270 0.73610
0.85165 2.49681 0.67565
0.84141 2.50137 0.60873
0.82998 2.50626 0.53739
0.81687 2.51149 0.46093
0.80052 2.51665 0.38562
0.78198 2.52182 0.31042
0.74854 2.52817 0.21871
0.85864 2.97390 1.00000
0.85662 2.97464 0.98922
0.85756 2.97580 0.97255
0.85588 2.97719 0.95214
0.85193 2.97916 0.92316
0.84734 2.98174 0.88530
0.84248 2.98468 0.84225
0.83686 2.98802 0.79312
0.82925 2.99186 0.73689
0.82016 2.99607 0.67519
0.81011 3.00070 0.60763
0.79889 3.00546 0.53819
0.78582 3.01066 0.46252
0.77123 3.01609 0.38358
0.75399 3.02162 0.30337
0.72845 3.02697 0.22575
0.85437 3.48649 0.99812
0.85562 3.48710 0.98930
0.85607 3.48817 0.97386
0.85471 3.48964 0.95240
0.85029 3.49161 0.92357
0.84539 3.49412 0.88668
0.84047 3.49719 0.84173
0.83522 3.50052 0.79314
0.82911 3.50443 0.73613
0.82035 3.50859 0.67537
0.80894 3.51304 0.61038
0.79606 3.51798 0.53832
0.78186 3.52323 0.46201
0.76643 3.52838 0.38728
0.74357 3.53403 0.30562
0.72045 3.53887 0.23527
0.86694 3.97733 0.99892
0.86796 3.97797 0.98959
0.86796 3.97911 0.97302
0.86683 3.98058 0.95161
0.86235 3.98257 0.92253
0.85774 3.98504 0.88641
0.85256 3.98805 0.84245
0.84661 3.99146 0.79265
0.83966 3.99525 0.73734
0.83157 3.99947 0.67589
0.82165 4.00407 0.60883
0.81019 4.00894 0.53803
0.79725 4.01416 0.46247
0.78224 4.01959 0.38369
0.76204 4.02500 0.30539
0.73329 4.03060 0.22437
0.89282 4.48205 0.99928
0.89345 4.48280 0.98837
0.89274 4.48381 0.97378
0.89076 4.48523 0.95310
0.88629 4.48726 0.92350
0.88225 4.48981 0.88629
0.87786 4.49278 0.84289
0.87234 4.49626 0.79231
0.86570 4.50008 0.73668
0.85667 4.50426 0.67566
0.84644 4.50875 0.61046
0.83598 4.51382 0.53686
0.82295 4.51892 0.46299
0.80683 4.52432 0.38462
0.78677 4.52985 0.30467
0.75220 4.53548 0.22339
0.91724 4.98116 0.99796
0.91634 4.98182 0.98849
0.91675 4.98278 0.97464
0.91459 4.98426 0.95310
0.91054 4.98631 0.92322
0.90598 4.98883 0.88660
0.90179 4.99183 0.84292
0.89620 4.99523 0.79331
0.88958 4.99911 0.73701
0.88145 5.00323 0.67699
0.87247 5.00789 0.60942
0.86234 5.01289 0.53692
0.84931 5.01801 0.46275
0.83429 5.02346 0.38373
0.81538 5.02907 0.30261
0.79783 5.03422 0.22756
0.93250 5.48050 0.99889
0.93199 5.48122 0.98849
0.93285 5.48242 0.97119
0.93046 5.48367 0.95297
0.92692 5.48574 0.92291
0.92270 5.48831 0.88550
0.91783 5.49127 0.84239
0.91191 5.49466 0.79308
0.90456 5.49845 0.73794
0.89547 5.50271 0.67617
0.88489 5.50738 0.60831
0.87384 5.51226 0.53755
0.85954 5.51743 0.46273
0.84338 5.52296 0.38270
0.82672 5.52818 0.30734
0.80553 5.53291 0.23902
0.93424 5.99474 0.99804
0.93732 5.99540 0.98858
0.93693 5.99636 0.97468
0.93355 5.99783 0.95332
0.93056 5.99990 0.92319
0.92669 6.00244 0.88629
0.92224 6.00552 0.84159
0.91655 6.00886 0.79304
0.90913 6.01264 0.73813
0.90023 6.01689 0.67645
0.89067 6.02157 0.60864
0.87994 6.02657 0.53621
0.86649 6.03170 0.46189
0.84888 6.03712 0.38363
0.82824 6.04260 0.30448
0.79651 6.04857 0.21862
0.93579 6.48762 0.99811
0.93731 6.48816 0.99026
0.93434 6.48920 0.97521
0.93178 6.49071 0.95329
0.92825 6.49273 0.92380
0.92401 6.49535 0.88600
0.91977 6.49836 0.84215
0.91356 6.50180 0.79220
0.90615 6.50556 0.73768
0.89731 6.50989 0.67488
0.88694 6.51449 0.60828
0.87488 6.51936 0.53771
0.86205 6.52453 0.46297
0.84704 6.53019 0.38110
0.82678 6.53581 0.29998
0.79636 6.54118 0.22205
0.92725 6.98868 0.99998
0.92960 6.98944 0.98897
0.92911 6.99048 0.97400
0.92637 6.99192 0.95305
0.92261 6.99406 0.92209
0.91901 6.99654 0.88612
0.91405 6.99950 0.84307
0.90762 7.00289 0.79383
0.90055 7.00676 0.73770
0.89237 7.01104 0.67585
0.88246 7.01558 0.60991
0.87065 7.02050 0.53880
0.85676 7.02577 0.46251
0.84108 7.03115 0.38485
0.82043 7.03689 0.30190
0.79791 7.04226 0.22429
0.92220 7.50812 0.99882
0.92350 7.50879 0.98915
0.92346 7.50969 0.97612
0.91948 7.51136 0.95188
0.91580 7.51342 0.92202
