Iraw[0;1] R It 
--------------------------------
0.85685 0.53390 0.39416
0.85571 0.53341 0.81733
0.85571 0.53394 1.27962
0.85506 0.53394 1.85076
0.85603 0.53396 2.23222
0.85529 0.53400 2.76838
0.85507 0.53400 3.25498
0.85527 0.53405 3.77377
0.85418 0.53407 4.21133
0.85519 0.53414 4.73189
0.85584 0.53419 5.28457
0.85435 0.53422 5.74419
0.85463 0.53429 6.24796
0.85533 0.53437 6.77688
0.85424 0.53443 7.26034
0.85442 0.53450 7.75947
0.85522 0.53460 8.25519
0.85378 0.53467 8.78512
0.85426 0.53477 9.26022
0.85370 0.53485 9.74631
0.85361 0.53495 10.26431
0.85397 0.53506 10.75140
0.85330 0.53516 11.23889
0.85328 0.53528 11.75497
0.85282 0.53539 12.26754
0.85224 0.53550 12.74283
0.85210 0.53563 13.25386
0.85168 0.53575 13.73574
0.85130 0.53588 14.23726
0.85115 0.53603 14.74930
0.85029 0.53616 15.24338
0.85017 0.53632 15.75797
0.85002 0.53647 16.24188
0.84947 0.53662 16.75181
0.84947 0.53679 17.25049
0.84826 0.53693 17.74078
0.84853 0.53712 18.26248
0.84817 0.53729 18.75495
0.84761 0.53746 19.25395
0.84732 0.53765 19.75576
0.84688 0.53783 20.24678
0.84675 0.53803 20.75058
0.84546 0.53820 21.23998
0.84553 0.53841 21.73831
0.84517 0.53862 22.27348
0.84451 0.53882 22.75311
0.84424 0.53903 23.24440
0.84376 0.53925 23.75628
0.84335 0.53947 24.25392
0.84272 0.53968 24.74418
0.84230 0.53992 25.26058
0.84186 0.54015 25.74439
0.84137 0.54039 26.25849
0.84075 0.54062 26.74423
0.84052 0.54088 27.25723
0.84003 0.54112 27.74751
0.83976 0.54138 28.24829
0.83890 0.54163 28.75335
0.83853 0.54190 29.25366
0.83813 0.54216 29.74572
0.83750 0.54244 30.25363
0.83722 0.54273 30.75136
0.83667 0.54300 31.25204
0.83618 0.54329 31.74860
0.83563 0.54358 32.25115
0.83529 0.54388 32.75688
0.83472 0.54417 33.24807
0.83434 0.54448 33.74903
0.83404 0.54479 34.24133
0.83353 0.54510 34.75783
0.83304 0.54542 35.25981
0.83229 0.54573 35.75058
0.83169 0.54606 36.24909
0.83106 0.54639 36.75681
0.83046 0.54670 37.23234
0.82959 0.54704 37.75353
0.82899 0.54738 38.24351
0.82882 0.54772 38.75236
0.82788 0.54806 39.23801
0.82732 0.54842 39.74818
0.82641 0.54877 40.25320
0.82579 0.54913 40.75306
0.82503 0.54949 41.24604
0.82431 0.54986 41.75455
0.82363 0.55023 42.25204
0.82299 0.55060 42.74865
0.82228 0.55098 43.25239
0.82149 0.55136 43.75727
0.82011 0.55174 44.25349
0.81936 0.55213 44.75071
0.81880 0.55252 45.25507
0.81764 0.55292 45.75261
0.81636 0.55331 46.25309
0.81592 0.55372 46.75344
0.81531 0.55413 47.24729
0.81429 0.55454 47.74547
0.81359 0.55495 48.24546
0.81224 0.55538 48.75126
0.81123 0.55580 49.25196
0.81071 0.55622 49.74072
0.80928 0.55666 50.24972
0.80859 0.55709 50.74776
0.80763 0.55753 51.24650
0.80653 0.55797 51.74426
0.80548 0.55842 52.25087
0.80471 0.55887 52.75774
0.80363 0.55932 53.25340
0.80242 0.55977 53.74588
0.80172 0.56024 54.25980
0.79982 0.56069 54.75098
0.79888 0.56114 55.23986
0.79764 0.56161 55.74803
0.79645 0.56209 56.25277
0.79486 0.56255 56.74877
0.79373 0.56303 57.24764
0.79200 0.56351 57.75670
0.79075 0.56399 58.25100
0.78966 0.56448 58.75327
0.78827 0.56497 59.25359
0.78678 0.56545 59.74634
0.78505 0.56595 60.25272
0.78364 0.56645 60.75432
0.78230 0.56695 61.24421
0.78084 0.56746 61.75704
0.77957 0.56797 62.25619
0.77757 0.56848 62.75929
0.77632 0.56897 63.24138
0.77494 0.56950 63.75095
0.77354 0.57002 64.24868
0.77132 0.57054 64.75154
0.76995 0.57107 65.25572
0.76799 0.57160 65.75583
0.76648 0.57212 66.24814
0.76480 0.57266 66.74762
0.76286 0.57319 67.25150
0.76071 0.57373 67.74560
