A B C D E F G H I J K L M 
0.58377 0.08460 0.10025 0.09923 0.61545 -0.50439 0.02273 -0.39138 0.34618 0.53515 0.68662 0.15000 1
0.55590 0.10963 0.11710 0.16716 0.40953 -0.34450 0.08323 -0.51012 0.39312 0.68662 0.79987 0.15000 1
0.70624 -0.03041 0.07680 -0.04739 0.70090 -0.40089 0.24101 -0.67255 0.35767 0.79987 1.01237 0.15000 1
0.89808 -0.09795 -0.02629 -0.25422 0.72874 -0.25868 0.37938 -0.73601 0.30028 1.01237 1.27041 0.15000 1
1.21499 -0.14997 -0.16774 -0.49004 0.34517 0.16351 0.39738 -0.22262 -0.10289 1.27041 1.35900 0.15000 1
0.60361 -0.21486 0.18565 0.20151 0.55994 -0.32778 0.07839 -0.34777 0.14644 1.35900 1.48513 0.15000 1
0.94054 -0.17695 0.02135 -0.12598 0.29910 -0.03537 0.26852 -0.39623 0.11087 1.48513 1.60384 0.15000 1
0.73722 -0.05317 0.02152 0.05301 0.27940 -0.09110 -0.01986 -0.15426 0.07238 1.60384 1.78073 0.15000 1
1.02305 -0.01174 -0.08564 -0.28127 0.06635 0.12272 0.37693 -0.10705 -0.07409 1.78073 1.87912 0.15000 1
0.50820 -0.03628 0.06500 0.24859 0.37048 -0.17388 0.17060 -0.30404 0.08215 1.87912 1.97989 0.15000 1
1.16945 -0.13826 -0.04362 -0.24788 -0.01838 0.12989 0.56688 -0.38095 0.03075 1.97989 2.15270 0.15000 1
0.78545 -0.24360 0.08288 0.27547 0.21157 -0.07901 0.53936 -0.64053 0.15172 2.15270 2.47622 0.15000 1
0.85882 -0.24521 0.07066 0.12979 0.01130 0.03059 0.82358 -0.11179 -0.11223 2.47622 2.47622 0.15000 1
1.06938 0.03028 -0.06877 -0.13669 0.21839 -0.02316 -0.17738 -0.02272 0.02245 2.47622 2.58754 0.15000 1
0.48289 0.14402 -0.02780 0.15239 0.18908 -0.05166 -0.00035 -0.11939 0.03281 2.58754 2.78284 0.15000 1
0.37693 0.14886 -0.01662 0.04584 0.13935 -0.01919 0.25160 -0.10188 -0.00606 2.78284 2.97538 0.15000 1
0.51645 0.18574 -0.04362 -0.18119 0.26021 -0.03655 0.29431 -0.28211 0.05091 2.97538 3.26763 0.15000 1
